,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
111,28l3353,berlin,50,max. 30 km,724.000 €,['155 m²'],['6 Zi.'],['349 m²'],['Einfamilienhaus'],n.a,['2022'],['A'],['Gas'],"['Fußbodenheizung, offener Kamin']"
112,28kpg59,berlin,50,max. 30 km,599.000 €,['187 m²'],['4 Zi.'],['1.273 m²'],['Einfamilienhaus'],n.a,['1996'],['D'],['Gas'],"['offener Kamin, Zentralheizung']"
113,28wga57,berlin,50,max. 50 km,394.000 €,['125 m²'],['4 Zi.'],['400 m²'],['Einfamilienhaus'],n.a,['2005'],n.a,['Gas'],['Zentralheizung']
114,27gzb5b,berlin,50,max. 50 km,865.000 €,['216 m²'],['7 Zi.'],['623 m²'],['Einfamilienhaus'],n.a,n.a,n.a,['Gas'],['Fußbodenheizung']
115,28gr953,berlin,50,max. 50 km,420.000 €,['149 m²'],['5 Zi.'],['984 m²'],['Einfamilienhaus'],n.a,['1883'],['D'],['Gas'],['Zentralheizung']
116,2747u59,berlin,50,max. 50 km,288.000 €,['100 m²'],['3 Zi.'],['350 m²'],['Einfamilienhaus'],['1 Geschoss'],['2023'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
117,27mfb5f,berlin,50,max. 50 km,725.000 €,['141 m²'],['5 Zi.'],['728 m²'],['Einfamilienhaus'],['3 Geschosse'],['2004'],n.a,"['Elektro, Gas']",['Zentralheizung']
118,26jjc57,berlin,50,max. 50 km,475.000 €,['450 m²'],['13 Zi.'],['724 m²'],['Herrenhaus'],['3 Geschosse'],['1898'],n.a,"['Elektro, Gas']",['Zentralheizung']
119,279285n,berlin,50,max. 50 km,465.000 €,['116.9 m²'],['4 Zi.'],['1.037 m²'],['Einfamilienhaus'],n.a,['2002'],['C'],['Gas'],['Fußbodenheizung']
120,28gn558,berlin,50,max. 50 km,219.999 €,['160.19 m²'],['8 Zi.'],"['425,19 m²']",['Reihenmittelhaus'],n.a,['1920'],n.a,['Pellets'],n.a
121,27y9k5u,berlin,50,max. 50 km,475.000 €,['220 m²'],['7 Zi.'],['3.065 m²'],['Einfamilienhaus'],n.a,['1956'],['D'],['Öl'],"['offener Kamin, Zentralheizung']"
122,27yq85f,berlin,50,max. 50 km,435.000 €,['110 m²'],['4 Zi.'],['470 m²'],['Einfamilienhaus'],n.a,['1998'],n.a,['Gas'],['Zentralheizung']
123,26wm85x,berlin,50,max. 50 km,699.000 €,['142 m²'],['5 Zi.'],['620 m²'],['Einfamilienhaus'],n.a,['2022'],['A'],['Gas'],['Fußbodenheizung']
124,25m3c53,berlin,50,max. 50 km,auf Anfrage,['955 m²'],[],['2.577 m²'],['Mehrfamilienhaus'],['6 Geschosse'],['1905'],n.a,['Gas'],['Zentralheizung']
125,2868h5a,berlin,50,max. 50 km,390.000 €,['120 m²'],['5 Zi.'],['760 m²'],['Einfamilienhaus'],['1 Geschoss'],['1974'],['G'],['Gas'],['Zentralheizung']
126,27hre5h,berlin,50,max. 50 km,385.000 €,['125 m²'],['4 Zi.'],['401 m²'],['Doppelhaushälfte'],n.a,['1997'],['D'],['Gas'],['Zentralheizung']
127,256db5a,berlin,50,max. 50 km,629.000 €,['160 m²'],['6 Zi.'],['1.331 m²'],['Einfamilienhaus'],['2 Geschosse'],['1988'],n.a,['Öl'],"['Fußbodenheizung, Zentralheizung']"
128,253pm5f,berlin,50,max. 50 km,419.000 €,['163 m²'],['6 Zi.'],['916 m²'],['Einfamilienhaus'],['3 Geschosse'],['1938'],['A'],"['Elektro, Gas']",n.a
129,284ls5c,berlin,50,max. 50 km,610.000 €,['500 m²'],['20 Zi.'],['1.200 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1870'],['D'],['Öl'],['Zentralheizung']
130,26emt56,berlin,50,max. 2 km,auf Anfrage,['2400 m²'],[],['k.A.'],['Mehrfamilienhaus'],['5 Geschosse'],['1908'],['C'],n.a,n.a
131,25p6u5n,berlin,50,max. 5 km,7.250.000 €,['1148 m²'],[],['535 m²'],['Mehrfamilienhaus'],['5 Geschosse'],['ca 1900'],['C'],['Gas'],['Zentralheizung']
132,255ub5y,berlin,50,max. 10 km,auf Anfrage,['3200 m²'],[],['2.000 m²'],['Mehrfamilienhaus'],['5 Geschosse'],n.a,n.a,n.a,['Zentralheizung']
133,27lpa5f,berlin,50,max. 10 km,1.595.000 €,['327.17 m²'],['8 Zi.'],['1.176 m²'],n.a,['1 Geschoss'],['2016'],['A+'],"['Elektro, Erdwärme']","['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
134,27vce5x,berlin,50,max. 10 km,1.750.000 €,['285 m²'],['9 Zi.'],['1.400 m²'],['Mehrfamilienhaus'],n.a,['1960'],n.a,['Gas'],['offener Kamin']
135,225e85z,berlin,50,max. 10 km,1.299.000 €,['160 m²'],['6 Zi.'],['230 m²'],['Doppelhaushälfte'],n.a,['2023'],n.a,n.a,n.a
136,27fps5j,berlin,50,max. 15 km,725.000 €,['93.79 m²'],['4.5 Zi.'],"['250,15 m²']",['Einfamilienhaus'],['2 Geschosse'],['2018'],['A+'],['Elektro'],['Luft-/Wasser-Wärmepumpe']
137,276q35w,berlin,50,max. 15 km,895.000 €,[],['4 Zi.'],['845 m²'],['Einfamilienhaus'],n.a,['2001'],['B'],n.a,n.a
138,2z5xs4n,berlin,50,max. 15 km,599.000 €,['124 m²'],['4 Zi.'],['1.057 m²'],['Einfamilienhaus'],['1 Geschoss'],['1957'],['H'],"['Gas, Holz']","['offener Kamin, Zentralheizung']"
