,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
1568,2825s55,frankfurt-am-main,50,max. 15 km,1.150.000 €,['220 m²'],['5 Zi.'],['500 m²'],['Villa'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1569,27dmn5u,frankfurt-am-main,50,max. 15 km,700.000 €,['185 m²'],['11 Zi.'],['874 m²'],['Mehrfamilienhaus'],n.a,['1920'],['H'],['Gas'],['Zentralheizung'],2023-01-04
1570,27lrt59,frankfurt-am-main,50,max. 15 km,430.000 €,['144 m²'],['5 Zi.'],['170 m²'],['Reihenendhaus'],n.a,['1990'],['E'],n.a,n.a,2023-01-04
1571,28ws35d,frankfurt-am-main,50,max. 15 km,790.000 €,['247.59 m²'],['9 Zi.'],['522 m²'],['Mehrfamilienhaus'],n.a,['1920'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1572,2726m5w,frankfurt-am-main,50,max. 15 km,1.200.000 €,['230 m²'],['5 Zi.'],['1.200 m²'],['Einfamilienhaus'],n.a,['1970'],['E'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1573,27n9d5q,frankfurt-am-main,50,max. 15 km,850.000 €,['210 m²'],['10 Zi.'],['354 m²'],['Einfamilienhaus'],['2 Geschosse'],['1984'],n.a,['Fernwärme'],['Zentralheizung'],2023-01-04
1574,27zjs5r,frankfurt-am-main,50,max. 15 km,500.000 €,['316 m²'],['11 Zi.'],['269 m²'],['Mehrfamilienhaus'],n.a,['1550'],n.a,['Gas'],['Etagenheizung'],2023-01-04
1575,26xkg57,frankfurt-am-main,50,max. 15 km,7.700.000 €,['1808 m²'],['48 Zi.'],['1.270 m²'],['Mehrfamilienhaus'],n.a,['2011'],n.a,['Gas'],n.a,2023-01-04
1576,23zub5s,frankfurt-am-main,50,max. 15 km,749.000 €,['160 m²'],['7 Zi.'],['822 m²'],['Bungalow'],n.a,['1966'],n.a,['Öl'],['Zentralheizung'],2023-01-04
1577,286de59,frankfurt-am-main,50,max. 15 km,785.000 €,['291 m²'],['10 Zi.'],['636 m²'],['Mehrfamilienhaus'],n.a,['1979'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1578,2526f5l,frankfurt-am-main,50,max. 15 km,3.590.000 €,['1008 m²'],['17.5 Zi.'],['962 m²'],['Mehrfamilienhaus'],n.a,['1986'],['F'],['Elektro'],['Fußbodenheizung'],2023-01-04
1579,259wm5w,frankfurt-am-main,50,max. 15 km,1.279.000 €,['445 m²'],['20 Zi.'],['853 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1958'],n.a,['Gas'],['Zentralheizung'],2023-01-04
1580,26fgk5d,frankfurt-am-main,50,max. 15 km,735.000 €,['150.6 m²'],['5 Zi.'],['622 m²'],['Reihenendhaus'],n.a,['1976'],['G'],['Öl'],['Zentralheizung'],2023-01-04
1581,285za58,frankfurt-am-main,50,max. 15 km,825.000 €,['144 m²'],['5 Zi.'],['226 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2017'],['B'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2023-01-04
1582,26e7555,frankfurt-am-main,50,max. 15 km,695.000 €,['225 m²'],['8 Zi.'],['156 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1959'],['D'],['Gas'],['Zentralheizung'],2023-01-04
1583,268v555,frankfurt-am-main,50,max. 15 km,465.000 €,['115 m²'],['4 Zi.'],['79 m²'],['Einfamilienhaus'],['2 Geschosse'],['1960'],['F'],['Gas'],['Zentralheizung'],2023-01-04
1584,28xxp55,frankfurt-am-main,50,max. 15 km,675.000 €,['160 m²'],['7 Zi.'],['290 m²'],['Einfamilienhaus'],n.a,['1900'],n.a,['Gas'],n.a,2023-01-04
1585,27fa35r,frankfurt-am-main,50,max. 15 km,795.000 €,['215 m²'],['7 Zi.'],['985 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1947/2008'],n.a,['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1586,28vuz5b,frankfurt-am-main,50,max. 15 km,470.000 €,['78 m²'],['4 Zi.'],['135 m²'],['Reihenmittelhaus'],n.a,['1930'],['F'],['Gas'],['Zentralheizung'],2023-01-04
1587,27bl85n,frankfurt-am-main,50,max. 15 km,248.000 €,['74 m²'],['4 Zi.'],['160 m²'],['Einfamilienhaus'],n.a,['1889'],n.a,['Gas'],n.a,2023-01-04
1588,284cl53,frankfurt-am-main,50,max. 15 km,1.405.000 €,['355 m²'],[],['1.636 m²'],['Einfamilienhaus'],['2 Geschosse'],['1950/75/94/2002'],n.a,n.a,['Zentralheizung'],2023-01-04
1589,28hp25b,frankfurt-am-main,50,max. 15 km,1.700.000 €,['264 m²'],['6 Zi.'],['588 m²'],['Villa'],n.a,['2018'],['D'],['Gas'],['Zentralheizung'],2023-01-04
1590,28zwz5b,frankfurt-am-main,50,max. 15 km,1.190.000 €,['240 m²'],['8 Zi.'],['472 m²'],['Mehrfamilienhaus'],n.a,['1993'],['D'],['Gas'],['Zentralheizung'],2023-01-04
1591,28t5q5c,frankfurt-am-main,50,max. 15 km,4.700.000 €,['322 m²'],['8 Zi.'],['1.019 m²'],['Einfamilienhaus'],n.a,['2013'],['B'],['Gas'],"['Fußbodenheizung, offener Kamin']",2023-01-04
1592,27jgw55,frankfurt-am-main,50,max. 15 km,1.099.000 €,['126 m²'],['6 Zi.'],['739 m²'],['Bungalow'],n.a,['1971'],['F'],['Öl'],"['Fußbodenheizung, offener Kamin, Zentralheizung']",2023-01-04
1593,28nwu53,frankfurt-am-main,50,max. 15 km,1.600.000 €,['501 m²'],['21 Zi.'],['570 m²'],['Mehrfamilienhaus'],n.a,['1971'],['D'],['Gas'],['Zentralheizung'],2023-01-04
1594,27b955q,frankfurt-am-main,50,max. 15 km,790.000 €,['102 m²'],['5 Zi.'],['572 m²'],['Einfamilienhaus'],n.a,['1920'],['H'],['Gas'],['Zentralheizung'],2023-01-04
1595,26dze52,frankfurt-am-main,50,max. 15 km,639.000 €,['125 m²'],['5 Zi.'],['260 m²'],['Doppelhaushälfte'],n.a,['1994'],['F'],n.a,['Zentralheizung'],2023-01-04
1596,27tqn5e,frankfurt-am-main,50,max. 15 km,720.000 €,['154 m²'],['7 Zi.'],['570 m²'],['Mehrfamilienhaus'],n.a,['1961'],['F'],['Gas'],['Zentralheizung'],2023-01-04
1597,278eb5y,frankfurt-am-main,50,max. 15 km,1.850.000 €,['250 m²'],['7 Zi.'],['1.078 m²'],['Einfamilienhaus'],n.a,['1926'],['F'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1598,27bh35w,frankfurt-am-main,50,max. 15 km,2.450.000 €,['252.67 m²'],['6 Zi.'],['722 m²'],['Einfamilienhaus'],n.a,['1961'],n.a,n.a,"['Luft-/Wasser-Wärmepumpe, offener Kamin']",2023-01-04
1599,285nh5c,frankfurt-am-main,50,max. 15 km,549.000 €,['170 m²'],['6 Zi.'],['364 m²'],['Reihenendhaus'],n.a,['1983'],['E'],n.a,"['Fußbodenheizung, Zentralheizung']",2023-01-04
1600,28db552,frankfurt-am-main,50,max. 15 km,1.500.000 €,['238 m²'],['7 Zi.'],['453 m²'],['Einfamilienhaus'],n.a,['1955'],n.a,['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1601,27je65t,frankfurt-am-main,50,max. 15 km,749.000 €,['137 m²'],['5 Zi.'],['290 m²'],['Doppelhaushälfte'],n.a,['1988'],['E'],n.a,n.a,2023-01-04
1602,28cdl54,frankfurt-am-main,50,max. 15 km,865.000 €,['136 m²'],['5 Zi.'],['612 m²'],['Einfamilienhaus'],n.a,['1970'],['G'],['Gas'],['Zentralheizung'],2023-01-04
1603,288ve57,frankfurt-am-main,50,max. 15 km,715.000 €,['129 m²'],['5 Zi.'],['245 m²'],['Villa'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1604,28rt555,frankfurt-am-main,50,max. 15 km,455.000 €,['133 m²'],['4 Zi.'],['317 m²'],['Reihenendhaus'],n.a,['1958'],n.a,['Öl'],['Zentralheizung'],2023-01-04
1605,28d4j5c,frankfurt-am-main,50,max. 15 km,1.849.000 €,['248 m²'],['7 Zi.'],['885 m²'],['Einfamilienhaus'],n.a,['2001'],['E'],['Gas'],"['Ofen, offener Kamin']",2023-01-04
1606,28ebu53,frankfurt-am-main,50,max. 15 km,1.405.000 €,[],[],['k.A.'],n.a,n.a,n.a,n.a,n.a,n.a,2023-01-04
1607,27gss5r,frankfurt-am-main,50,max. 15 km,625.000 €,['152 m²'],['5 Zi.'],['413 m²'],['Einfamilienhaus'],n.a,['1985'],n.a,['Fernwärme'],['offener Kamin'],2023-01-04
1608,27phr5t,frankfurt-am-main,50,max. 15 km,1.590.000 €,['280 m²'],[],['7.433 m²'],['Wohn- und Geschäftshaus'],n.a,n.a,n.a,n.a,n.a,2023-01-04
